mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,spectral_centroid_mean,spectral_rolloff_mean,rms_energy_mean,zcr_mean,chroma_0_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,tempo,person,audio_path,audio_name,phrase
-508.7049560546875,122.38660430908203,91.33394622802734,47.05787658691406,12.930076599121094,15.838494300842285,10.293485641479492,18.68230438232422,-16.349327087402344,26.625015258789062,9.172920227050781,11.888117790222168,-2.012880325317383,12.093483924865723,-4.592586994171143,10.52071762084961,-5.571414947509766,11.637763977050781,3.075448989868164,8.626298904418945,-3.4549362659454346,7.657294273376465,-1.6371018886566162,6.63473653793335,-4.434736728668213,8.642967224121094,2335.863637635096,4773.9287829789955,0.008359947241842747,0.12604860399590165,0.3458586037158966,0.3995819687843323,0.40421178936958313,0.42884334921836853,0.43895062804222107,0.41717398166656494,0.38318413496017456,0.4447288513183594,0.5769535899162292,0.6066121459007263,0.4939192831516266,0.36970892548561096,161.4990234375,Irais,c:\Users\LENOVO\Documents\KERIE\ML_FORMATIVE2\Formative-2-Data-Preprocessing\augmented_audio\Irais\Irais_confirm_transaction_1_fast.wav,Irais_confirm_transaction_1_fast.wav,confirm_transaction
-434.6060791015625,121.50552368164062,95.94774627685547,49.384986877441406,11.520711898803711,17.189653396606445,12.189276695251465,18.909086227416992,-16.446481704711914,25.386648178100586,10.299221992492676,11.304234504699707,-1.6813572645187378,11.50851821899414,-3.346158504486084,10.111533164978027,-6.118770122528076,11.60512924194336,3.4422647953033447,8.891196250915527,-3.7888288497924805,6.737578392028809,-1.0814406871795654,6.603842735290527,-4.772058010101318,9.203225135803223,2312.2825711330916,4646.044921875,0.021477144211530685,0.11101921237244898,0.3678077757358551,0.40671849250793457,0.39979296922683716,0.42618244886398315,0.44194725155830383,0.41016244888305664,0.40045398473739624,0.4746314287185669,0.6091015934944153,0.6298709511756897,0.5422102808952332,0.41437819600105286,135.99917763157896,Irais,c:\Users\LENOVO\Documents\KERIE\ML_FORMATIVE2\Formative-2-Data-Preprocessing\augmented_audio\Irais\Irais_confirm_transaction_1_loud.wav,Irais_confirm_transaction_1_loud.wav,confirm_transaction
-315.6871032714844,45.707130432128906,28.134586334228516,39.69866943359375,8.726821899414062,15.095894813537598,2.7952075004577637,13.678762435913086,-8.237295150756836,14.325274467468262,0.8883202075958252,7.981679916381836,-3.7351789474487305,7.1084208488464355,-2.0280873775482178,8.281526565551758,-4.422916412353516,6.628551959991455,2.140549421310425,5.163543224334717,-3.4344799518585205,4.596080780029297,-0.3671979308128357,4.803529739379883,-4.331884860992432,5.894467353820801,4256.979978261451,7911.5478515625,0.016036828979849815,0.32814825148809523,0.5199466347694397,0.5501170754432678,0.5602370500564575,0.566923201084137,0.5346072316169739,0.48606032133102417,0.4992727041244507,0.6092124581336975,0.7158945798873901,0.7039289474487305,0.6172305345535278,0.5431307554244995,129.19921875,Irais,c:\Users\LENOVO\Documents\KERIE\ML_FORMATIVE2\Formative-2-Data-Preprocessing\augmented_audio\Irais\Irais_confirm_transaction_1_noisy.wav,Irais_confirm_transaction_1_noisy.wav,confirm_transaction
-474.45184326171875,121.5027847290039,95.94625854492188,49.38998031616211,11.517016410827637,17.18722152709961,12.1910982131958,18.910324096679688,-16.448902130126953,25.388547897338867,10.296256065368652,11.300979614257812,-1.6756932735443115,11.509337425231934,-3.3492331504821777,10.109938621520996,-6.120260238647461,11.605244636535645,3.434821605682373,8.894774436950684,-3.7878060340881348,6.737914085388184,-1.0806994438171387,6.607227325439453,-4.780956268310547,9.197505950927734,2311.215579419818,4642.822265625,0.014318089932203293,0.1109461362670068,0.3677110970020294,0.4067517817020416,0.3997344970703125,0.4262063205242157,0.44187241792678833,0.4099515676498413,0.40021461248397827,0.4744201898574829,0.6089170575141907,0.6296563744544983,0.54197096824646,0.41425952315330505,135.99917763157896,Irais,c:\Users\LENOVO\Documents\KERIE\ML_FORMATIVE2\Formative-2-Data-Preprocessing\augmented_audio\Irais\Irais_confirm_transaction_1_original.wav,Irais_confirm_transaction_1_original.wav,confirm_transaction
-505.5942687988281,122.88672637939453,88.06153106689453,48.15436553955078,12.845691680908203,15.885186195373535,2.6046648025512695,22.88764190673828,-12.139001846313477,23.592750549316406,9.199516296386719,10.850724220275879,-5.214327335357666,13.745805740356445,-5.654139041900635,11.915688514709473,-1.1233584880828857,7.691995620727539,0.4913294315338135,7.278121471405029,-5.655867099761963,9.923919677734375,-3.4139702320098877,8.778482437133789,-4.639512538909912,7.07744026184082,2431.616504830603,4977.392578125,0.011196321807801723,0.1298230229591837,0.41621705889701843,0.3257027566432953,0.3404524028301239,0.34928855299949646,0.384891539812088,0.4056839048862457,0.3458305895328522,0.3485275208950043,0.4191894233226776,0.545205295085907,0.6262955665588379,0.5657270550727844,129.19921875,Irais,c:\Users\LENOVO\Documents\KERIE\ML_FORMATIVE2\Formative-2-Data-Preprocessing\augmented_audio\Irais\Irais_confirm_transaction_1_pitch_up.wav,Irais_confirm_transaction_1_pitch_up.wav,confirm_transaction
-511.86639404296875,119.24913787841797,83.9833984375,38.77973937988281,17.97372817993164,14.141684532165527,10.085631370544434,17.239330291748047,-15.176759719848633,27.88906478881836,8.344159126281738,9.840993881225586,-2.2188429832458496,13.665915489196777,-3.721475124359131,12.070701599121094,-3.50778865814209,11.864615440368652,3.0071017742156982,8.512892723083496,-3.7829813957214355,11.802964210510254,0.6752516031265259,6.775410175323486,-5.155617713928223,10.721170425415039,2325.3926160721257,4911.56734343498,0.01057372335344553,0.12023532006048387,0.3774087429046631,0.4044841229915619,0.44749605655670166,0.47289517521858215,0.42007362842559814,0.36513984203338623,0.4054292142391205,0.5946914553642273,0.5988147258758545,0.5689713358879089,0.49289992451667786,0.416835218667984,151.99908088235293,Irais,c:\Users\LENOVO\Documents\KERIE\ML_FORMATIVE2\Formative-2-Data-Preprocessing\augmented_audio\Irais\Irais_confirm_transaction_2_fast.wav,Irais_confirm_transaction_2_fast.wav,confirm_transaction
-438.4501037597656,118.57743072509766,88.71200561523438,39.95398712158203,14.206045150756836,13.8351469039917,11.726117134094238,17.571334838867188,-16.620832443237305,26.681734085083008,8.5670804977417,10.399385452270508,-2.5885393619537354,12.458368301391602,-2.6080708503723145,10.60319995880127,-4.038415908813477,11.383429527282715,3.4212985038757324,8.136178016662598,-3.733825206756592,10.801733016967773,1.1861236095428467,6.515362739562988,-5.944462299346924,10.179499626159668,2371.9539929575067,4871.2324812605575,0.020627198740839958,0.11704233530405406,0.3962647318840027,0.41495946049690247,0.45191413164138794,0.4623773992061615,0.44502922892570496,0.40066784620285034,0.5024060010910034,0.6495271921157837,0.6232802867889404,0.5576184391975403,0.4661408066749573,0.42137932777404785,129.19921875,Irais,c:\Users\LENOVO\Documents\KERIE\ML_FORMATIVE2\Formative-2-Data-Preprocessing\augmented_audio\Irais\Irais_confirm_transaction_2_loud.wav,Irais_confirm_transaction_2_loud.wav,confirm_transaction
-319.2383728027344,43.73012924194336,24.638784408569336,35.161956787109375,9.010907173156738,12.80344009399414,3.2885589599609375,11.634349822998047,-8.001684188842773,14.676034927368164,1.64179265499115,7.027867794036865,-3.914015054702759,7.403083801269531,-1.1659388542175293,8.714409828186035,-4.177369117736816,7.217896461486816,0.74980628490448,5.777569770812988,-4.028314590454102,5.5523858070373535,0.9367743730545044,5.104532241821289,-4.005485534667969,6.575473308563232,4359.402659034984,8038.432023331926,0.015548039227724075,0.34488162478885137,0.5688433051109314,0.5703199505805969,0.5932374596595764,0.619534969329834,0.5453874468803406,0.4667638838291168,0.5388002395629883,0.687404990196228,0.6912397146224976,0.6581013202667236,0.5899085402488708,0.5814111232757568,129.19921875,Irais,c:\Users\LENOVO\Documents\KERIE\ML_FORMATIVE2\Formative-2-Data-Preprocessing\augmented_audio\Irais\Irais_confirm_transaction_2_noisy.wav,Irais_confirm_transaction_2_noisy.wav,confirm_transaction
-478.297607421875,118.57954406738281,88.71833038330078,39.949588775634766,14.205365180969238,13.835010528564453,11.715595245361328,17.56880760192871,-16.625089645385742,26.678199768066406,8.568074226379395,10.404716491699219,-2.5847907066345215,12.461091995239258,-2.609038829803467,10.600814819335938,-4.03615665435791,11.384504318237305,3.416083335876465,8.137442588806152,-3.7383174896240234,10.797828674316406,1.1896640062332153,6.515260696411133,-5.945892810821533,10.175519943237305,2377.771852452367,4872.250943570523,0.013751445338129997,0.11713801203547297,0.39593037962913513,0.41465210914611816,0.4517979919910431,0.46231961250305176,0.4448622167110443,0.40029555559158325,0.5021141171455383,0.6494699120521545,0.6232409477233887,0.5575343370437622,0.46615028381347656,0.4211958348751068,129.19921875,Irais,c:\Users\LENOVO\Documents\KERIE\ML_FORMATIVE2\Formative-2-Data-Preprocessing\augmented_audio\Irais\Irais_confirm_transaction_2_original.wav,Irais_confirm_transaction_2_original.wav,confirm_transaction
-511.3161315917969,118.89495849609375,79.74855041503906,38.39624786376953,16.894439697265625,14.088054656982422,1.3100178241729736,20.597740173339844,-12.735918045043945,23.276107788085938,8.761744499206543,9.438346862792969,-3.823005437850952,14.815686225891113,-3.8827965259552,12.930448532104492,0.6097323298454285,7.528965473175049,0.5990562438964844,7.081110000610352,-3.7593507766723633,11.100591659545898,-3.49383544921875,8.404796600341797,-5.137094020843506,9.360820770263672,2530.367075307202,5307.643581081081,0.009949070401489735,0.1318458350929054,0.4558802545070648,0.3929886817932129,0.33558785915374756,0.34172773361206055,0.3768863081932068,0.42108413577079773,0.41504544019699097,0.4071802496910095,0.41517066955566406,0.5948834419250488,0.6452587246894836,0.5792662501335144,129.19921875,Irais,c:\Users\LENOVO\Documents\KERIE\ML_FORMATIVE2\Formative-2-Data-Preprocessing\augmented_audio\Irais\Irais_confirm_transaction_2_pitch_up.wav,Irais_confirm_transaction_2_pitch_up.wav,confirm_transaction
