Augmentation,MFCC_1_Mean,MFCC_2_Mean,MFCC_3_Mean,MFCC_4_Mean,MFCC_5_Mean,MFCC_6_Mean,MFCC_7_Mean,MFCC_8_Mean,MFCC_9_Mean,MFCC_10_Mean,MFCC_11_Mean,MFCC_12_Mean,MFCC_13_Mean,Spectral_Rolloff_Mean,Energy
Belyse_yes_approve_1_Noisy,-336.37443971715146,17.638194029709258,9.707783705627593,2.740958929416081,0.9342216338375382,-0.6819467939200089,-1.2311322044268227,0.2995364661807504,1.5281273284516232,0.5940609183393218,-1.7863100478928284,-3.3919521625587494,-3.1097620013794973,19752.052811909263,0.010009764
Belyse_yes_approve_1_Pitch_Shifted,-611.05126953125,104.78032684326172,1.7908997535705566,-4.134461402893066,-1.6586917638778687,-9.242290496826172,-4.1949052810668945,0.17897304892539978,-2.8529679775238037,-11.27116584777832,-12.039397239685059,-9.329882621765137,-10.132732391357422,3806.7550803402646,0.004344996
Belyse_yes_approve_1_Time_Stretched,-621.8089599609375,113.36164093017578,12.757253646850586,-1.4198938608169556,5.115816116333008,-4.790072441101074,-6.353888988494873,-1.4941143989562988,2.623612880706787,0.3693845570087433,-6.210474014282227,-6.817312240600586,-6.903171062469482,3465.961402266289,0.0042331098
Belyse_yes_approve_1_Trimmed,-527.435546875,152.24668884277344,15.250432968139648,-8.146138191223145,0.565199077129364,-8.891592025756836,-9.496623039245605,-3.2313642501831055,2.8609116077423096,-0.011530558578670025,-9.034735679626465,-9.201537132263184,-8.527763366699219,2261.497641509434,0.010813689
Belyse_confirm_transaction_2_Noisy,-328.8795363243116,23.725973043460783,8.573485872980834,-0.752407385685607,-1.8306775605000387,-1.7803613357988808,-0.9868738443962498,0.8378159356027333,1.8316536501304077,-0.44516744180002665,-2.781067312604731,-2.185382174633141,-0.9998966559373605,19075.534871967655,0.017730528
Belyse_confirm_transaction_2_Pitch_Shifted,-559.1527099609375,86.74842071533203,-2.989208698272705,-8.563691139221191,-3.9965429306030273,-7.112713813781738,-2.072218418121338,0.5071045756340027,-3.000375509262085,-10.207308769226074,-9.209095001220703,-6.541682243347168,-10.447286605834961,3189.9006064690025,0.00975757
Belyse_confirm_transaction_2_Time_Stretched,-566.8938598632812,95.70576477050781,8.791067123413086,-4.920714855194092,0.6177711486816406,-5.002237319946289,-4.230004787445068,-0.5740249752998352,2.2519094944000244,-0.571313738822937,-6.866770267486572,-5.296517372131348,-3.3619883060455322,2784.3180668016194,0.011637632
Belyse_confirm_transaction_2_Trimmed,-431.3194885253906,179.43896484375,-11.490514755249023,-20.47273063659668,0.8613305687904358,-13.16678237915039,-9.173517227172852,-1.1742161512374878,3.7542309761047363,-1.0368684530258179,-13.959553718566895,-9.140883445739746,-2.9175753593444824,1997.8125,0.035587024
