audio_id,phrase,augmentation,is_augmented,audio_path,duration,sample_rate,tempo,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,mfcc_0_mean,mfcc_0_std,mfcc_delta_0_mean,mfcc_delta_0_std,mfcc_delta2_0_mean,mfcc_delta2_0_std,mfcc_1_mean,mfcc_1_std,mfcc_delta_1_mean,mfcc_delta_1_std,mfcc_delta2_1_mean,mfcc_delta2_1_std,mfcc_2_mean,mfcc_2_std,mfcc_delta_2_mean,mfcc_delta_2_std,mfcc_delta2_2_mean,mfcc_delta2_2_std,mfcc_3_mean,mfcc_3_std,mfcc_delta_3_mean,mfcc_delta_3_std,mfcc_delta2_3_mean,mfcc_delta2_3_std,mfcc_4_mean,mfcc_4_std,mfcc_delta_4_mean,mfcc_delta_4_std,mfcc_delta2_4_mean,mfcc_delta2_4_std,mfcc_5_mean,mfcc_5_std,mfcc_delta_5_mean,mfcc_delta_5_std,mfcc_delta2_5_mean,mfcc_delta2_5_std,mfcc_6_mean,mfcc_6_std,mfcc_delta_6_mean,mfcc_delta_6_std,mfcc_delta2_6_mean,mfcc_delta2_6_std,mfcc_7_mean,mfcc_7_std,mfcc_delta_7_mean,mfcc_delta_7_std,mfcc_delta2_7_mean,mfcc_delta2_7_std,mfcc_8_mean,mfcc_8_std,mfcc_delta_8_mean,mfcc_delta_8_std,mfcc_delta2_8_mean,mfcc_delta2_8_std,mfcc_9_mean,mfcc_9_std,mfcc_delta_9_mean,mfcc_delta_9_std,mfcc_delta2_9_mean,mfcc_delta2_9_std,mfcc_10_mean,mfcc_10_std,mfcc_delta_10_mean,mfcc_delta_10_std,mfcc_delta2_10_mean,mfcc_delta2_10_std,mfcc_11_mean,mfcc_11_std,mfcc_delta_11_mean,mfcc_delta_11_std,mfcc_delta2_11_mean,mfcc_delta2_11_std,mfcc_12_mean,mfcc_12_std,mfcc_delta_12_mean,mfcc_delta_12_std,mfcc_delta2_12_mean,mfcc_delta2_12_std,chroma_0_mean,chroma_0_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,spectral_contrast_0_mean,spectral_contrast_0_std,spectral_contrast_1_mean,spectral_contrast_1_std,spectral_contrast_2_mean,spectral_contrast_2_std,spectral_contrast_3_mean,spectral_contrast_3_std,spectral_contrast_4_mean,spectral_contrast_4_std,spectral_contrast_5_mean,spectral_contrast_5_std,spectral_contrast_6_mean,spectral_contrast_6_std
yes_approve_pitch_down,yes_approve,pitch_down,True,..\audio\augmented\yes_approve_aug_pitch_down.wav,2.376,48000,[68.59756098],0.008401116,0.014993445,0.14720694366591927,0.10738651536456881,5214.435428281108,2045.320472723837,9744.850056053812,3340.371234891162,4161.059802932162,1330.0050899264343,-616.790283203125,140.72042846679688,1.9466694593429565,12.706597328186035,-0.4581049978733063,6.490360736846924,53.89482116699219,68.81478881835938,0.6487933993339539,8.325299263000488,0.03229353949427605,2.483491897583008,-6.604246616363525,42.5357666015625,-0.12416671961545944,5.763350963592529,0.1591096818447113,2.405259847640991,43.72845458984375,37.758888244628906,0.22138257324695587,3.8988616466522217,-0.01220520120114088,1.4346596002578735,-15.863951683044434,37.664337158203125,-0.1503051221370697,3.340052604675293,0.10000697523355484,1.387765645980835,31.94713020324707,23.275306701660156,0.26944878697395325,2.4647440910339355,-0.0480872318148613,1.0791406631469727,4.117727279663086,10.948436737060547,0.08769579976797104,1.8572107553482056,0.02075161784887314,0.8381223678588867,0.4157707989215851,15.63143539428711,0.11277098953723907,2.312018632888794,-0.03163941204547882,0.954741358757019,13.684643745422363,15.568743705749512,0.07140195369720459,2.0675950050354004,0.014343824237585068,0.9432026743888855,-1.2266511917114258,9.785841941833496,0.04174850881099701,1.4578380584716797,0.012453338131308556,0.7204667925834656,-6.964904308319092,13.620865821838379,-0.021881388500332832,2.1467463970184326,0.03030821494758129,0.9508394598960876,9.101643562316895,10.00499439239502,0.038132861256599426,1.2778046131134033,0.022994274273514748,0.7232446670532227,-1.010923147201538,9.037680625915527,0.0297484640032053,1.23471999168396,0.02168233133852482,0.7462964057922363,0.56074059009552,0.3040635287761688,0.5027410387992859,0.32605117559432983,0.4546853005886078,0.3036060333251953,0.4040577709674835,0.28279784321784973,0.42481157183647156,0.3021622896194458,0.49223294854164124,0.32094189524650574,0.548035740852356,0.3704724907875061,0.4754060208797455,0.31986188888549805,0.432565301656723,0.29130125045776367,0.4414970874786377,0.3090284466743469,0.5200316905975342,0.33564385771751404,0.6315319538116455,0.32298743724823,14.863196821532886,6.077193370226758,11.462076992304901,4.9303527277762775,13.799896209555415,4.435257859290684,15.71953170489095,3.702758169228652,17.931606672042342,3.959624327679249,19.01119108512585,3.820639857519247,66.21276812971846,13.372569445705073
yes_approve_time_fast,yes_approve,time_fast,True,..\audio\augmented\yes_approve_aug_time_fast.wav,1.98,48000,[82.72058824],0.009007027,0.01557029,0.16548009072580644,0.12069398126391358,5892.360029788778,2381.1461210358984,11030.367943548386,3954.755821778665,4708.417234733747,1589.9145548298184,-615.0248413085938,146.68772888183594,2.531590700149536,14.527420043945312,-0.42697712779045105,7.016541957855225,48.42473220825195,74.15376281738281,0.6212650537490845,10.01907730102539,0.038321372121572495,3.070497989654541,0.8101934790611267,33.4463005065918,-0.20300188660621643,5.481790065765381,0.17652305960655212,2.719892978668213,37.525211334228516,36.09159469604492,0.1978635936975479,4.295620918273926,0.056782692670822144,1.693365454673767,-13.473769187927246,36.59427261352539,-0.12877868115901947,3.5203304290771484,0.10722775757312775,1.5154848098754883,35.607975006103516,24.313629150390625,0.42138680815696716,2.966475009918213,-0.04573015868663788,1.2920219898223877,-4.690262317657471,13.80423641204834,0.040839359164237976,2.1016414165496826,0.013599737547338009,1.0119507312774658,6.034510612487793,12.61819076538086,0.13252124190330505,2.0751473903656006,-0.0484100878238678,0.8432154655456543,10.31735610961914,15.433323860168457,0.03223109245300293,2.1034183502197266,0.0032954630441963673,0.9256364703178406,-7.12641716003418,13.180990219116211,0.008869745768606663,2.2553305625915527,0.03793170303106308,1.0026097297668457,1.5976536273956299,11.523062705993652,-0.04323320463299751,1.7493479251861572,0.031717393547296524,0.9111457467079163,8.073469161987305,9.636853218078613,0.07508458197116852,1.602748990058899,0.00021952534734737128,0.9185328483581543,-2.606570243835449,11.213729858398438,0.05200854688882828,1.557732105255127,0.01613088883459568,0.8554927110671997,0.4533716142177582,0.3178834915161133,0.559559166431427,0.29162293672561646,0.575230598449707,0.3455304205417633,0.47221970558166504,0.31199586391448975,0.4654252231121063,0.3319109082221985,0.39539915323257446,0.29426202178001404,0.4156917333602905,0.3127811849117279,0.4408526122570038,0.30288001894950867,0.500092089176178,0.3423171937465668,0.4782748520374298,0.3204956352710724,0.43363943696022034,0.3058774173259735,0.40370890498161316,0.28378739953041077,14.422160251104243,6.2563654792004675,11.565997973488907,4.779897851337661,13.150602403614174,3.638587862130548,15.220739090034513,4.064312675960129,18.40193535696336,4.038680571225177,19.810072100570462,4.718624210353793,31.833300989123554,12.298452798774575
yes_approve_time_slow,yes_approve,time_slow,True,..\audio\augmented\yes_approve_aug_time_slow.wav,2.97,48000,[54.61165049],0.008591118,0.015332289,0.16260465669802868,0.12092401817507853,5927.415079318978,2393.208482498738,10981.182795698925,4103.993732928415,4712.132095952048,1615.321974999979,-617.3304443359375,143.84156799316406,1.2078254222869873,11.76091194152832,-0.33203139901161194,5.402247905731201,46.31184768676758,73.4480209350586,0.5002046823501587,7.589508056640625,0.04718663915991783,2.208893060684204,1.4635612964630127,34.33234786987305,0.027745045721530914,4.85268497467041,0.06671265512704849,1.9279112815856934,37.36159896850586,36.7751579284668,0.10939977318048477,3.4225668907165527,-0.02757405862212181,1.2785212993621826,-12.829501152038574,36.425357818603516,-0.03319549560546875,2.7502071857452393,0.027803966775536537,1.0493837594985962,34.08672332763672,23.865081787109375,0.183595672249794,2.5197794437408447,-0.014706926420331001,1.0405118465423584,-5.236189842224121,14.777898788452148,0.05245596915483475,2.0087132453918457,0.029685016721487045,0.7914102077484131,5.1727752685546875,12.621208190917969,0.05362899601459503,1.7378345727920532,-0.03869049251079559,0.7397432923316956,9.36272144317627,15.763788223266602,0.03008333221077919,1.86037015914917,0.009302573278546333,0.836158275604248,-8.128445625305176,13.219876289367676,0.021907636895775795,1.817181944847107,-0.001957622589543462,0.8053424954414368,1.1281665563583374,11.365320205688477,0.02408311329782009,1.5562994480133057,0.04059021919965744,0.7833383679389954,8.53426742553711,10.177626609802246,0.06443532556295395,1.543589472770691,-0.003650358412414789,0.7533002495765686,-1.9893308877944946,11.979927062988281,0.059659309685230255,1.3083422183990479,0.006164845544844866,0.6824249029159546,0.4130658507347107,0.31488141417503357,0.49078884720802307,0.2675052583217621,0.5711491107940674,0.3494340777397156,0.46371975541114807,0.29447370767593384,0.4771116375923157,0.3412138819694519,0.42166197299957275,0.3225889801979065,0.39836549758911133,0.3072775900363922,0.42862963676452637,0.3248303532600403,0.46730467677116394,0.33320873975753784,0.45370227098464966,0.33380207419395447,0.416983425617218,0.3050149083137512,0.38949862122535706,0.2873820662498474,15.166192103078576,5.883490183943846,11.5741030263223,4.626411632185575,13.983213509027399,3.9096260692695353,16.48631628619288,4.552963701876565,19.130776744752836,4.349303149706967,20.4857954140889,4.941606270184677,32.09652598738223,12.21248510950085
yes_approve_background_noise,yes_approve,background_noise,True,..\audio\augmented\yes_approve_aug_noise.wav,2.376,48000,[110.29411765],0.015513427,0.02092073,0.38827117783071746,0.13519271724120097,10818.647317054656,1369.7310669209642,18779.323150224216,2915.8238135427246,6665.610124810983,1216.4519282696974,-334.26509740057753,28.40539372890755,0.19163154722197343,3.1535192438134434,-0.11693657153339289,1.6317693344709097,0.6207966483850476,30.44774126531115,0.1384331812057353,3.8263890648743093,-0.02014210589284207,1.3204177721614268,6.0205991192760475,14.496742368703062,0.10534188808074414,2.133087433853197,0.02513805005607227,0.8510595611854499,14.144912236809162,18.918122961990836,0.07729975536360673,2.0938428713716086,0.029249494002771805,0.891592478376476,-0.29963265634744773,22.17925227123607,0.06856519680492427,2.2414244669406833,0.02344493018328642,0.82759295796662,9.521655195087082,12.919925355334794,0.12646740266573084,1.4098246657857316,-0.031737738400314804,0.7751993484702789,2.3141269010852956,6.583232122889421,0.11668374211669354,1.255858744443887,-0.037852256920559935,0.771658723588094,-0.14596902091450295,7.777368593030187,0.0463550604547286,1.1365984052998281,-0.04124172392916323,0.663891636690581,3.5525175894079055,6.512150080387015,0.03879257203941547,1.0977112272789726,-0.00012769109784807421,0.5700174249004438,-3.3436704710338225,7.589209015544956,0.035907012736922275,1.0193702236776216,0.01941711526079259,0.618763419778494,0.314170138572707,5.617564771363973,0.015596037160359096,0.8828758141832678,0.01452778299304998,0.47050535955722267,-1.4491210838443933,4.711235167447172,0.054042104444069976,0.8372784391322587,0.013034560799996238,0.523551954445428,-1.2538677349403404,5.288118977823159,0.06977266811414777,0.8551596796978792,0.012509222349178903,0.5736749898888751,0.5836378342487912,0.314755455851066,0.6730230005411425,0.2733286278561813,0.7014981819095587,0.28024353123615914,0.6320154423259302,0.2955332702488708,0.6406371645733457,0.31261453779697734,0.6054607333363685,0.32224878864971396,0.5872213506856245,0.32348033842084756,0.5605432849850178,0.2960369096326263,0.6005317933635342,0.28188140204766005,0.6483461451198955,0.28989953774976196,0.6330768513332314,0.2906404064895829,0.58394669748042,0.29926755719635534,11.349015958942713,6.111088239417945,9.61114397840251,4.415271441798171,10.522517918113648,3.41519301245525,12.480837288890127,3.337896988506636,14.21478352427452,2.812274136639426,13.979434687052342,2.5904314393547514,15.944164490225106,4.596063859612778
yes_approve_volume_up,yes_approve,volume_up,True,..\audio\augmented\yes_approve_aug_volume_up.wav,2.376,48000,[67.77108434],0.018978301,0.033375993,0.1457793231502242,0.12235852261461495,5825.794778954816,2499.3109711639545,10848.30437219731,4317.73778126606,4647.708889805905,1704.8229299644504,-544.5569458007812,148.9751739501953,2.0857462882995605,14.013370513916016,-0.4057135581970215,6.981435298919678,50.16791534423828,74.78413391113281,0.5790494084358215,9.193931579589844,0.021888460963964462,2.8546078205108643,2.9050817489624023,35.440486907958984,-0.15885169804096222,5.514691352844238,0.13110913336277008,2.5873007774353027,37.6859016418457,36.50799560546875,0.14687369763851166,3.7837507724761963,0.03725365176796913,1.4932878017425537,-12.626920700073242,36.5249137878418,-0.08727257698774338,3.269078493118286,0.06893209367990494,1.4093635082244873,34.77909851074219,23.944927215576172,0.3488708436489105,2.7262723445892334,-0.041941553354263306,1.2134811878204346,-5.141459941864014,15.023924827575684,0.0712626725435257,2.275808811187744,0.011706939898431301,0.9932852387428284,5.57813835144043,13.41528606414795,0.09727014601230621,2.047034740447998,-0.04283708333969116,0.8232131004333496,9.1072359085083,15.407247543334961,0.016457032412290573,2.043781280517578,0.009846501052379608,0.9412772059440613,-7.020394325256348,13.321794509887695,0.0006971295224502683,2.0579450130462646,0.011878129094839096,0.854831874370575,1.18332040309906,11.852980613708496,-0.032818883657455444,1.6781641244888306,0.047063760459423065,0.9347485303878784,8.683510780334473,10.100262641906738,0.0771041288971901,1.6413789987564087,0.003199098166078329,0.8600432276725769,-2.416694164276123,11.425798416137695,0.04931628331542015,1.4256181716918945,0.022937746718525887,0.8137231469154358,0.46241486072540283,0.33588889241218567,0.5646864771842957,0.31150922179222107,0.5737639665603638,0.3409344553947449,0.4638440012931824,0.29826170206069946,0.4777241051197052,0.3350256681442261,0.4017268419265747,0.30648019909858704,0.39198124408721924,0.3017108738422394,0.43686428666114807,0.31615161895751953,0.4957795739173889,0.3367503583431244,0.4811714291572571,0.33602917194366455,0.4400040805339813,0.31519776582717896,0.41048285365104675,0.2961876392364502,15.130753439699836,6.903664841901732,11.433852000580902,4.527155989776743,13.861133013700819,4.177987791497079,15.211249393623717,4.383483918544996,18.07704770799173,4.451481795800935,19.53961083025364,5.097663517135873,30.85599902594392,12.356373040141044
yes_approve_volume_down,yes_approve,volume_down,True,..\audio\augmented\yes_approve_aug_volume_down.wav,2.376,48000,[67.77108434],0.0063261003,0.011125331,0.1457793231502242,0.12235852261461495,5825.794777238769,2499.310969818711,10848.30437219731,4317.73778126606,4647.708889178475,1704.822929539533,-652.51708984375,148.9751739501953,2.0857467651367188,14.013373374938965,-0.40571358799934387,6.981436252593994,50.16791534423828,74.78413391113281,0.5790494680404663,9.193931579589844,0.0218884889036417,2.8546080589294434,2.9050824642181396,35.440486907958984,-0.15885169804096222,5.5146918296813965,0.13110914826393127,2.587301015853882,37.6859016418457,36.50799560546875,0.14687372744083405,3.783750534057617,0.037253640592098236,1.4932878017425537,-12.626920700073242,36.5249137878418,-0.087272509932518,3.269078493118286,0.06893204152584076,1.4093633890151978,34.77909851074219,23.944927215576172,0.3488708734512329,2.7262725830078125,-0.04194159060716629,1.2134814262390137,-5.141461372375488,15.02392578125,0.0712626725435257,2.275808811187744,0.011706923134624958,0.9932851791381836,5.578139305114746,13.41528606414795,0.09727014601230621,2.047034740447998,-0.04283708333969116,0.8232132792472839,9.107237815856934,15.407246589660645,0.01645703986287117,2.043781042098999,0.009846511296927929,0.941277265548706,-7.0203938484191895,13.321796417236328,0.0006971145630814135,2.0579450130462646,0.011878126300871372,0.854831874370575,1.1833202838897705,11.852981567382812,-0.03281887248158455,1.678164005279541,0.04706377163529396,0.9347485899925232,8.683510780334473,10.100262641906738,0.07710415124893188,1.6413792371749878,0.003199120284989476,0.8600432872772217,-2.4166958332061768,11.425798416137695,0.04931623861193657,1.4256184101104736,0.022937750443816185,0.8137231469154358,0.4624149203300476,0.33588892221450806,0.5646864175796509,0.31150922179222107,0.5737640261650085,0.3409344553947449,0.4638439118862152,0.2982616424560547,0.47772419452667236,0.3350256383419037,0.4017269015312195,0.30648016929626465,0.3919813334941864,0.3017108738422394,0.4368642270565033,0.31615158915519714,0.4957796335220337,0.3367503583431244,0.48117148876190186,0.33602917194366455,0.4400041103363037,0.31519776582717896,0.4104827344417572,0.2961876690387726,15.130753456760758,6.9036648521218344,11.433851988197807,4.527156011214385,13.861133013660261,4.177987812395569,15.211249423299035,4.383483912647346,18.077047670190115,4.451481763814227,19.53961085155052,5.097663512842295,30.855999017438585,12.356373053548388
confirm_transaction_original,confirm_transaction,original,False,..\audio\augmented\confirm_transaction_original.wav,3.96,48000,[76.01351351],0.0071153217,0.010469112,0.11975228914650538,0.09249483511805348,6043.4920013032615,2486.44219521688,12413.306451612903,4687.939791549133,5357.180449130479,1701.4542459615338,-615.2045288085938,188.7694854736328,0.07920804619789124,14.371246337890625,-0.028032097965478897,6.259331703186035,67.70533752441406,65.59331512451172,0.10487139970064163,10.546283721923828,-0.03174953907728195,3.4916491508483887,4.059354305267334,39.20774841308594,0.08741220086812973,5.846360206604004,-0.019164999946951866,2.679361581802368,26.291948318481445,22.148330688476562,0.0688692107796669,3.382747173309326,-0.012171686626970768,1.7337599992752075,-8.65488052368164,31.450075149536133,0.05529045686125755,3.82898211479187,-0.012913813814520836,1.7200074195861816,28.59968376159668,23.719255447387695,0.0423642136156559,2.7696585655212402,-0.011827699840068817,1.2282209396362305,0.6218419075012207,15.832175254821777,0.03171812742948532,2.3050038814544678,-0.008747588843107224,1.140377163887024,7.798465728759766,10.985818862915039,0.02185165323317051,2.0479490756988525,-0.00640988489612937,0.9531578421592712,4.160062789916992,10.27634334564209,0.01720656454563141,1.7426774501800537,-0.006915063131600618,0.8414785265922546,-4.61422872543335,11.590376853942871,0.01853245496749878,1.6531636714935303,-0.00971425510942936,0.8952030539512634,-4.3259172439575195,12.383094787597656,0.021051984280347824,1.7341108322143555,-0.012225093320012093,0.9439783096313477,3.3052875995635986,8.41223430633545,0.024496836587786674,1.4826411008834839,-0.011759714223444462,0.9562709927558899,-0.2788783311843872,7.278811454772949,0.024994729086756706,1.2756261825561523,-0.0032964912243187428,0.8025065660476685,0.4852241277694702,0.29818350076675415,0.511707067489624,0.2908027768135071,0.5497353076934814,0.30977654457092285,0.5885640382766724,0.3026466965675354,0.611761212348938,0.31286200881004333,0.5881805419921875,0.27492430806159973,0.6073094606399536,0.30573904514312744,0.5530739426612854,0.28455790877342224,0.49018773436546326,0.2730939984321594,0.45214930176734924,0.2839304208755493,0.43515798449516296,0.30204442143440247,0.4503546953201294,0.3049236536026001,15.39307813800554,6.416248360751784,11.386015300023173,3.8431931684459757,12.132786080124383,3.7167377126246017,15.350575101637514,4.01728074713443,17.39309047239248,4.091083031239657,17.02708508591313,4.650954195767877,26.56250912825392,11.697231372430306
confirm_transaction_pitch_up,confirm_transaction,pitch_up,True,..\audio\augmented\confirm_transaction_aug_pitch_up.wav,3.96,48000,[76.01351351],0.005007435,0.007331631,0.1633471417170699,0.10458609486966287,6570.863240144213,2376.249619261086,13441.78427419355,4267.182663940478,5745.734972191406,1468.7714289914811,-632.48388671875,181.61708068847656,0.062076035887002945,13.123565673828125,-0.023495232686400414,5.066366195678711,55.36806869506836,65.27119445800781,0.0850146934390068,10.765597343444824,-0.0298328660428524,3.4038379192352295,6.888498783111572,32.00647735595703,0.07650122791528702,4.849276065826416,-0.02253848686814308,2.177523612976074,19.741416931152344,20.495656967163086,0.06398294121026993,3.233567476272583,-0.01614655740559101,1.3922441005706787,-4.095035552978516,27.332624435424805,0.051708631217479706,3.6014840602874756,-0.012569463811814785,1.4754501581192017,26.053876876831055,23.629919052124023,0.042055487632751465,2.7934157848358154,-0.010721581988036633,1.207132339477539,-2.910790205001831,14.692164421081543,0.034102663397789,2.0289032459259033,-0.009455879218876362,0.9736160635948181,7.579957485198975,10.531179428100586,0.0275906752794981,1.6591297388076782,-0.00921317096799612,0.8568272590637207,-0.8484950661659241,11.824187278747559,0.024143880233168602,1.7463103532791138,-0.010065474547445774,0.888532280921936,-7.6390275955200195,13.258720397949219,0.0233620572835207,1.962356448173523,-0.010797137394547462,0.9699203968048096,2.7408559322357178,9.793257713317871,0.022857461124658585,1.5286307334899902,-0.009395604953169823,0.7420568466186523,2.712448835372925,8.192193031311035,0.022069590166211128,1.3297615051269531,-0.00477874930948019,0.7693908214569092,4.601144313812256,7.925498008728027,0.021191177889704704,1.2446149587631226,0.0009500536834821105,0.6474243998527527,0.40286919474601746,0.2953897714614868,0.42958927154541016,0.2991429567337036,0.46845319867134094,0.30442866683006287,0.4930194318294525,0.2813437581062317,0.5476611256599426,0.31378182768821716,0.594962477684021,0.30204421281814575,0.5940143465995789,0.3011501729488373,0.5597853064537048,0.28135234117507935,0.5697041153907776,0.29388105869293213,0.5528784990310669,0.28737175464630127,0.504847526550293,0.3021581172943115,0.43106916546821594,0.2836529016494751,15.793145732093992,6.27121947898243,11.912708360511813,4.47820936997476,13.358815088634968,3.9738114420795982,16.438796602668518,4.2481841274123004,18.024216690168718,4.08076374041465,18.6669407485667,4.515481085569236,51.51206253637441,12.166046075560434
confirm_transaction_pitch_down,confirm_transaction,pitch_down,True,..\audio\augmented\confirm_transaction_aug_pitch_down.wav,3.96,48000,[76.01351351],0.0044841883,0.006467863,0.13706133442540322,0.08735130628498239,5415.42930443968,2018.3527146885795,11084.173387096775,3772.618729041224,4744.206633520902,1327.6505618370777,-651.3906860351562,183.5229034423828,0.07168882340192795,13.125885963439941,-0.015434703789651394,4.883841037750244,71.03065490722656,63.81455612182617,0.0934373214840889,9.274484634399414,-0.014171185903251171,2.7963173389434814,-2.1506567001342773,43.08738708496094,0.076922707259655,6.008467674255371,-0.0037062987685203552,2.3965039253234863,32.45696258544922,27.044763565063477,0.06447261571884155,3.792975425720215,-0.0012352082412689924,1.7011868953704834,-13.302862167358398,33.32105255126953,0.05749524012207985,3.5609233379364014,-0.005451822653412819,1.4989618062973022,25.771705627441406,20.510330200195312,0.04568920284509659,2.604517936706543,-0.006897139362990856,1.0872271060943604,4.981375694274902,16.67655372619629,0.03155794367194176,2.4351890087127686,-0.0046174656599760056,1.0245306491851807,6.474682331085205,12.498751640319824,0.020089197903871536,2.391814708709717,-0.005798583850264549,0.9622349143028259,9.08383846282959,9.304229736328125,0.01482779998332262,1.5933407545089722,-0.008989216759800911,0.8343459963798523,1.3427186012268066,9.639619827270508,0.012839684262871742,1.3057198524475098,-0.008782651275396347,0.6822037100791931,-6.81532096862793,13.482420921325684,0.008855445310473442,1.811880350112915,-0.005437679123133421,0.9216477274894714,1.9067277908325195,8.853617668151855,0.010141836479306221,1.4521783590316772,-0.005823482759296894,0.7542403936386108,-3.8032357692718506,8.865751266479492,0.013877973891794682,1.2339568138122559,-0.007579280529171228,0.8070923089981079,0.6054221391677856,0.28963664174079895,0.6216285228729248,0.31323447823524475,0.5689045190811157,0.2816963493824005,0.588293194770813,0.30702465772628784,0.5745895504951477,0.29870885610580444,0.516140878200531,0.2857954502105713,0.4878111779689789,0.29495537281036377,0.41682860255241394,0.2584582567214966,0.4338454306125641,0.283858060836792,0.4852505624294281,0.30125731229782104,0.5179567933082581,0.28328201174736023,0.5533928871154785,0.2818993926048279,15.460265096862914,6.7056657658851435,10.660780842550835,3.540890355798414,12.968915986740758,3.982788888038188,15.618664750726493,3.9313888123848937,18.346272534033723,4.4460492965885345,17.308696945279866,3.974690504322227,63.32263867178766,12.386318293718105
confirm_transaction_time_fast,confirm_transaction,time_fast,True,..\audio\augmented\confirm_transaction_aug_time_fast.wav,3.3,48000,[90.72580645],0.004674941,0.0066837166,0.14913369455645162,0.094631398881445,6137.38754869199,2326.17920794099,12530.745967741936,4418.286693553889,5399.732768365924,1587.9888799206578,-640.8330688476562,183.57798767089844,0.06133678928017616,14.160893440246582,-0.020406346768140793,5.76037073135376,62.9332160949707,63.909637451171875,0.08159986883401871,11.113141059875488,-0.02773802913725376,3.7746245861053467,2.5067050457000732,38.08195114135742,0.06560016423463821,5.889479160308838,-0.022296292707324028,2.6619062423706055,26.74352264404297,22.940149307250977,0.0517854243516922,3.7688188552856445,-0.019978784024715424,1.7602869272232056,-9.356815338134766,30.674911499023438,0.0429249182343483,3.946214437484741,-0.01947404257953167,1.7125178575515747,27.8980712890625,23.328554153442383,0.037149809300899506,2.9714341163635254,-0.01797899417579174,1.3017327785491943,0.3961898386478424,16.066261291503906,0.03438364341855049,2.4377214908599854,-0.01605232059955597,1.1339120864868164,7.140808582305908,11.168739318847656,0.0300021693110466,2.2267465591430664,-0.01226456742733717,1.0231523513793945,4.460893630981445,10.027520179748535,0.025717290118336678,1.8135162591934204,-0.010623025707900524,0.8490087985992432,-5.289185047149658,11.957176208496094,0.02043740637600422,1.82909095287323,-0.010308787226676941,0.930612325668335,-3.554901599884033,12.132782936096191,0.015400562435388565,1.8056988716125488,-0.010561132803559303,0.9101365208625793,3.434683322906494,8.119889259338379,0.01171723660081625,1.4616395235061646,-0.00852312333881855,0.9280224442481995,0.7875776290893555,6.874854564666748,0.008225551806390285,1.275366187095642,-0.0013453350402414799,0.7810636162757874,0.5167443752288818,0.2893921136856079,0.5533303022384644,0.3088166117668152,0.5893579721450806,0.29279443621635437,0.6193925738334656,0.29313480854034424,0.599112331867218,0.29026922583580017,0.602125346660614,0.28083235025405884,0.59721440076828,0.30962860584259033,0.5031937956809998,0.2709876000881195,0.4550326466560364,0.2735137343406677,0.40337705612182617,0.2675958275794983,0.40646642446517944,0.291305273771286,0.4643494188785553,0.2993573844432831,15.363773827565128,6.086058535479232,11.479673350282484,3.6992425901612616,12.243946838900328,3.383671565498721,15.386678947267164,3.620372270032965,17.650391611717474,3.873636263669904,17.512060756299643,4.253433857593905,27.669059370925506,11.65833547169621
