image_name,augmentation_type,mean_r,std_r,mean_g,std_g,mean_b,std_b,edge_magnitude,hist_r_0,hist_r_1,hist_r_2,hist_r_3,hist_r_4,hist_r_5,hist_r_6,hist_r_7,hist_r_8,hist_r_9,hist_r_10,hist_r_11,hist_r_12,hist_r_13,hist_r_14,hist_r_15,hist_r_16,hist_r_17,hist_r_18,hist_r_19,hist_r_20,hist_r_21,hist_r_22,hist_r_23,hist_r_24,hist_r_25,hist_r_26,hist_r_27,hist_r_28,hist_r_29,hist_r_30,hist_r_31,hist_g_0,hist_g_1,hist_g_2,hist_g_3,hist_g_4,hist_g_5,hist_g_6,hist_g_7,hist_g_8,hist_g_9,hist_g_10,hist_g_11,hist_g_12,hist_g_13,hist_g_14,hist_g_15,hist_g_16,hist_g_17,hist_g_18,hist_g_19,hist_g_20,hist_g_21,hist_g_22,hist_g_23,hist_g_24,hist_g_25,hist_g_26,hist_g_27,hist_g_28,hist_g_29,hist_g_30,hist_g_31,hist_b_0,hist_b_1,hist_b_2,hist_b_3,hist_b_4,hist_b_5,hist_b_6,hist_b_7,hist_b_8,hist_b_9,hist_b_10,hist_b_11,hist_b_12,hist_b_13,hist_b_14,hist_b_15,hist_b_16,hist_b_17,hist_b_18,hist_b_19,hist_b_20,hist_b_21,hist_b_22,hist_b_23,hist_b_24,hist_b_25,hist_b_26,hist_b_27,hist_b_28,hist_b_29,hist_b_30,hist_b_31
Irais_surprised_flipped,horizontal_flip,106.31072998046875,79.2073752441693,97.3861083984375,72.30531404977027,83.205078125,56.016252032698254,104.31403049914991,1888.0,853.0,965.0,907.0,982.0,778.0,327.0,237.0,210.0,227.0,216.0,201.0,176.0,216.0,285.0,268.0,251.0,235.0,374.0,542.0,680.0,782.0,842.0,839.0,852.0,804.0,567.0,385.0,254.0,127.0,62.0,52.0,1759.0,680.0,718.0,1083.0,1349.0,992.0,534.0,324.0,241.0,239.0,222.0,243.0,281.0,239.0,243.0,304.0,349.0,429.0,643.0,717.0,772.0,836.0,813.0,753.0,523.0,420.0,295.0,162.0,98.0,61.0,34.0,28.0,1446.0,765.0,654.0,1063.0,960.0,875.0,788.0,830.0,579.0,304.0,270.0,377.0,566.0,728.0,836.0,862.0,905.0,862.0,753.0,524.0,449.0,333.0,254.0,152.0,81.0,59.0,30.0,19.0,21.0,10.0,7.0,22.0
Irais_surprised_grayscale,grayscale,98.4554443359375,72.20104017459028,98.4554443359375,72.20104017459028,98.4554443359375,72.20104017459028,104.32567568164532,1750.0,662.0,743.0,1027.0,1363.0,939.0,483.0,334.0,226.0,224.0,227.0,239.0,264.0,271.0,238.0,287.0,361.0,502.0,636.0,739.0,808.0,842.0,837.0,769.0,553.0,407.0,298.0,149.0,101.0,58.0,30.0,17.0,1750.0,662.0,743.0,1027.0,1363.0,939.0,483.0,334.0,226.0,224.0,227.0,239.0,264.0,271.0,238.0,287.0,361.0,502.0,636.0,739.0,808.0,842.0,837.0,769.0,553.0,407.0,298.0,149.0,101.0,58.0,30.0,17.0,1750.0,662.0,743.0,1027.0,1363.0,939.0,483.0,334.0,226.0,224.0,227.0,239.0,264.0,271.0,238.0,287.0,361.0,502.0,636.0,739.0,808.0,842.0,837.0,769.0,553.0,407.0,298.0,149.0,101.0,58.0,30.0,17.0
Irais_surprised_bright,brightness_increase,157.78741455078125,90.41473673820269,150.7333984375,85.93051018604181,137.07659912109375,70.64037394376173,110.88229543345372,0.0,0.0,0.0,523.0,1354.0,647.0,715.0,736.0,680.0,759.0,713.0,410.0,203.0,179.0,152.0,184.0,161.0,168.0,145.0,149.0,151.0,159.0,242.0,210.0,187.0,188.0,180.0,244.0,356.0,476.0,567.0,5546.0,0.0,0.0,0.0,167.0,1587.0,546.0,494.0,633.0,880.0,1050.0,897.0,560.0,347.0,248.0,182.0,190.0,193.0,161.0,186.0,208.0,215.0,173.0,190.0,201.0,261.0,279.0,333.0,457.0,538.0,579.0,628.0,4001.0,0.0,0.0,0.0,174.0,1271.0,599.0,456.0,678.0,787.0,758.0,697.0,606.0,625.0,648.0,501.0,312.0,209.0,208.0,265.0,390.0,509.0,546.0,638.0,671.0,659.0,700.0,668.0,611.0,473.0,396.0,360.0,969.0
Irais_surprised_blurred,gaussian_blur,106.3380126953125,78.85953601972264,97.41741943359375,71.9244464208801,83.23828125,55.550954573950825,99.49921815855006,1844.0,836.0,960.0,967.0,1002.0,761.0,327.0,232.0,208.0,214.0,236.0,200.0,180.0,210.0,298.0,272.0,241.0,207.0,344.0,524.0,699.0,794.0,858.0,844.0,918.0,830.0,593.0,407.0,208.0,95.0,46.0,29.0,1729.0,676.0,692.0,1060.0,1379.0,1075.0,523.0,288.0,240.0,257.0,228.0,229.0,302.0,217.0,243.0,300.0,319.0,409.0,645.0,731.0,782.0,823.0,889.0,816.0,512.0,419.0,282.0,154.0,76.0,50.0,26.0,13.0,1421.0,762.0,624.0,1093.0,947.0,857.0,791.0,922.0,571.0,283.0,256.0,349.0,544.0,718.0,842.0,892.0,869.0,1004.0,752.0,512.0,456.0,323.0,253.0,131.0,76.0,47.0,24.0,19.0,14.0,10.0,5.0,17.0
Irais_smiling_original,original,97.46234130859375,72.17986243949139,88.35870361328125,65.85070602924353,73.9200439453125,53.514084864681365,123.49603185475793,1330.0,2094.0,1166.0,777.0,556.0,329.0,280.0,315.0,351.0,236.0,187.0,182.0,226.0,255.0,283.0,285.0,441.0,704.0,1108.0,1029.0,858.0,845.0,687.0,545.0,427.0,292.0,229.0,147.0,91.0,46.0,45.0,38.0,706.0,1462.0,1979.0,1487.0,957.0,391.0,277.0,238.0,223.0,216.0,265.0,249.0,231.0,347.0,579.0,923.0,975.0,720.0,720.0,738.0,630.0,451.0,364.0,317.0,289.0,208.0,158.0,92.0,85.0,57.0,31.0,19.0,430.0,771.0,1653.0,1930.0,1281.0,948.0,516.0,337.0,498.0,951.0,1135.0,984.0,811.0,640.0,485.0,502.0,440.0,370.0,295.0,224.0,141.0,156.0,117.0,137.0,94.0,78.0,79.0,91.0,85.0,72.0,51.0,82.0
Irais_smiling_rotated,rotation_15deg,86.545654296875,75.43386464457741,78.82403564453125,68.6957437253517,66.56793212890625,56.027354720910544,124.19320694321857,2862.0,2006.0,1179.0,761.0,546.0,256.0,189.0,244.0,353.0,174.0,119.0,109.0,157.0,187.0,216.0,265.0,347.0,600.0,950.0,896.0,829.0,765.0,651.0,486.0,426.0,282.0,186.0,129.0,81.0,59.0,46.0,28.0,2327.0,1302.0,1936.0,1451.0,874.0,316.0,189.0,188.0,168.0,151.0,196.0,181.0,213.0,262.0,499.0,785.0,790.0,697.0,692.0,683.0,585.0,421.0,345.0,280.0,226.0,200.0,147.0,106.0,75.0,48.0,34.0,17.0,2152.0,632.0,1437.0,1758.0,1264.0,805.0,471.0,247.0,382.0,827.0,915.0,945.0,772.0,628.0,426.0,443.0,398.0,332.0,246.0,190.0,146.0,133.0,123.0,112.0,101.0,69.0,68.0,74.0,92.0,66.0,58.0,72.0
Irais_smiling_flipped,horizontal_flip,97.46234130859375,72.17986243949139,88.35870361328125,65.85070602924353,73.9200439453125,53.514084864681365,123.49603185475793,1330.0,2094.0,1166.0,777.0,556.0,329.0,280.0,315.0,351.0,236.0,187.0,182.0,226.0,255.0,283.0,285.0,441.0,704.0,1108.0,1029.0,858.0,845.0,687.0,545.0,427.0,292.0,229.0,147.0,91.0,46.0,45.0,38.0,706.0,1462.0,1979.0,1487.0,957.0,391.0,277.0,238.0,223.0,216.0,265.0,249.0,231.0,347.0,579.0,923.0,975.0,720.0,720.0,738.0,630.0,451.0,364.0,317.0,289.0,208.0,158.0,92.0,85.0,57.0,31.0,19.0,430.0,771.0,1653.0,1930.0,1281.0,948.0,516.0,337.0,498.0,951.0,1135.0,984.0,811.0,640.0,485.0,502.0,440.0,370.0,295.0,224.0,141.0,156.0,117.0,137.0,94.0,78.0,79.0,91.0,85.0,72.0,51.0,82.0
Irais_smiling_grayscale,grayscale,89.47039794921875,65.55854691734635,89.47039794921875,65.55854691734635,89.47039794921875,65.55854691734635,123.4935401751613,679.0,1486.0,1981.0,1298.0,905.0,479.0,317.0,218.0,230.0,203.0,248.0,256.0,232.0,303.0,551.0,887.0,1041.0,802.0,761.0,779.0,655.0,478.0,387.0,322.0,283.0,205.0,146.0,90.0,75.0,59.0,21.0,7.0,679.0,1486.0,1981.0,1298.0,905.0,479.0,317.0,218.0,230.0,203.0,248.0,256.0,232.0,303.0,551.0,887.0,1041.0,802.0,761.0,779.0,655.0,478.0,387.0,322.0,283.0,205.0,146.0,90.0,75.0,59.0,21.0,7.0,679.0,1486.0,1981.0,1298.0,905.0,479.0,317.0,218.0,230.0,203.0,248.0,256.0,232.0,303.0,551.0,887.0,1041.0,802.0,761.0,779.0,655.0,478.0,387.0,322.0,283.0,205.0,146.0,90.0,75.0,59.0,21.0,7.0
Irais_smiling_bright,brightness_increase,151.87744140625,87.20627594589759,141.50079345703125,80.02834427902592,123.40203857421875,62.85487278219016,142.48708805434939,0.0,0.0,0.0,206.0,1099.0,1604.0,1208.0,740.0,542.0,440.0,282.0,263.0,176.0,249.0,288.0,212.0,169.0,141.0,133.0,165.0,190.0,188.0,209.0,227.0,241.0,397.0,534.0,789.0,880.0,750.0,695.0,3367.0,0.0,0.0,0.0,47.0,643.0,984.0,1630.0,1318.0,1074.0,797.0,346.0,254.0,192.0,177.0,173.0,169.0,186.0,201.0,202.0,179.0,201.0,273.0,426.0,667.0,769.0,684.0,565.0,553.0,545.0,586.0,508.0,2035.0,0.0,0.0,0.0,61.0,363.0,505.0,1060.0,1377.0,1487.0,1013.0,800.0,589.0,319.0,253.0,347.0,552.0,801.0,901.0,755.0,669.0,595.0,456.0,381.0,378.0,366.0,337.0,284.0,240.0,210.0,143.0,133.0,1009.0
Irais_smiling_blurred,gaussian_blur,97.54522705078125,71.74030878598997,88.4454345703125,65.34401771044975,74.00152587890625,52.90554221059902,119.1326790032609,1224.0,2103.0,1245.0,740.0,589.0,314.0,293.0,296.0,387.0,226.0,190.0,195.0,234.0,238.0,283.0,295.0,420.0,713.0,1099.0,1049.0,847.0,852.0,701.0,573.0,423.0,315.0,221.0,134.0,78.0,57.0,41.0,9.0,653.0,1425.0,1964.0,1556.0,976.0,382.0,264.0,232.0,225.0,242.0,255.0,273.0,230.0,329.0,560.0,969.0,939.0,725.0,724.0,774.0,663.0,438.0,371.0,324.0,277.0,228.0,149.0,85.0,77.0,40.0,22.0,13.0,396.0,716.0,1703.0,1946.0,1312.0,899.0,528.0,326.0,444.0,988.0,1155.0,965.0,849.0,643.0,488.0,477.0,490.0,389.0,314.0,216.0,147.0,145.0,142.0,120.0,77.0,82.0,75.0,87.0,82.0,68.0,50.0,65.0
