audio_id,person,phrase,audio_name,audio_path,augmentation,is_augmented,duration,sample_rate,rms_mean,rms_std,zcr_mean,zcr_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,mfcc_0_mean,mfcc_0_std,mfcc_delta_0_mean,mfcc_delta_0_std,mfcc_delta2_0_mean,mfcc_delta2_0_std,mfcc_1_mean,mfcc_1_std,mfcc_delta_1_mean,mfcc_delta_1_std,mfcc_delta2_1_mean,mfcc_delta2_1_std,mfcc_2_mean,mfcc_2_std,mfcc_delta_2_mean,mfcc_delta_2_std,mfcc_delta2_2_mean,mfcc_delta2_2_std,mfcc_3_mean,mfcc_3_std,mfcc_delta_3_mean,mfcc_delta_3_std,mfcc_delta2_3_mean,mfcc_delta2_3_std,mfcc_4_mean,mfcc_4_std,mfcc_delta_4_mean,mfcc_delta_4_std,mfcc_delta2_4_mean,mfcc_delta2_4_std,mfcc_5_mean,mfcc_5_std,mfcc_delta_5_mean,mfcc_delta_5_std,mfcc_delta2_5_mean,mfcc_delta2_5_std,mfcc_6_mean,mfcc_6_std,mfcc_delta_6_mean,mfcc_delta_6_std,mfcc_delta2_6_mean,mfcc_delta2_6_std,mfcc_7_mean,mfcc_7_std,mfcc_delta_7_mean,mfcc_delta_7_std,mfcc_delta2_7_mean,mfcc_delta2_7_std,mfcc_8_mean,mfcc_8_std,mfcc_delta_8_mean,mfcc_delta_8_std,mfcc_delta2_8_mean,mfcc_delta2_8_std,mfcc_9_mean,mfcc_9_std,mfcc_delta_9_mean,mfcc_delta_9_std,mfcc_delta2_9_mean,mfcc_delta2_9_std,mfcc_10_mean,mfcc_10_std,mfcc_delta_10_mean,mfcc_delta_10_std,mfcc_delta2_10_mean,mfcc_delta2_10_std,mfcc_11_mean,mfcc_11_std,mfcc_delta_11_mean,mfcc_delta_11_std,mfcc_delta2_11_mean,mfcc_delta2_11_std,mfcc_12_mean,mfcc_12_std,mfcc_delta_12_mean,mfcc_delta_12_std,mfcc_delta2_12_mean,mfcc_delta2_12_std,chroma_0_mean,chroma_0_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,spectral_contrast_0_mean,spectral_contrast_0_std,spectral_contrast_1_mean,spectral_contrast_1_std,spectral_contrast_2_mean,spectral_contrast_2_std,spectral_contrast_3_mean,spectral_contrast_3_std,spectral_contrast_4_mean,spectral_contrast_4_std,spectral_contrast_5_mean,spectral_contrast_5_std,spectral_contrast_6_mean,spectral_contrast_6_std
Fidele_CT2_pitch_down,Fidel,ct2,Fidele_CT2_pitch_down.wav,..\augmented_audio\Fidel\Fidele_CT2_pitch_down.wav,augmented,True,3.96,22050.0,0.004680636338889599,0.006256982684135437,0.21397854989035087,0.14499535459348797,75.99954044117646,3631.974495384446,1375.099321735472,7679.294305098684,1729.3276337207158,3155.462250234713,446.809444312402,-612.3302001953125,207.960693359375,-0.2485629916191101,20.108543395996094,0.10237694531679153,9.110597610473633,44.700008392333984,59.60566711425781,0.1444089561700821,14.591287612915039,-0.10847408324480057,7.700526714324951,21.4990291595459,25.132102966308594,0.07736774533987045,5.405209541320801,-0.02338683232665062,3.0343716144561768,4.432203769683838,22.00575828552246,0.12070119380950928,3.9714581966400146,-0.02553999423980713,2.364053964614868,15.117193222045898,19.426517486572266,0.029393425211310387,4.152383327484131,-0.01819686032831669,2.1623666286468506,12.2123441696167,15.912542343139648,-0.001305719604715705,3.1105988025665283,0.008151662535965443,1.7528444528579712,5.580928325653076,10.884574890136719,0.03156498074531555,2.243709087371826,-0.012425043620169163,1.4255954027175903,8.967156410217285,9.786578178405762,0.026882285252213478,1.756509780883789,-0.007836446166038513,0.9941715002059937,-9.503472328186035,16.659423828125,0.0791117325425148,2.2122673988342285,-0.03781081736087799,1.5272685289382935,0.9866845011711121,10.141403198242188,0.04566877707839012,2.0546133518218994,-0.013660726137459278,1.0881956815719604,-1.8087682723999023,9.518845558166504,0.055166758596897125,1.7661060094833374,-0.013797157444059849,1.0069550275802612,6.685080051422119,11.56410026550293,-0.019746562466025352,2.204658031463623,0.016349708661437035,1.0647562742233276,-2.7220382690429688,6.79252290725708,-0.020305493846535683,1.4113017320632935,-0.003941112197935581,0.8909318447113037,0.4910312294960022,0.315986305475235,0.5673025250434875,0.33393147587776184,0.5321546196937561,0.313511461019516,0.4883705675601959,0.2923468053340912,0.47931796312332153,0.3136628568172455,0.40738770365715027,0.28106924891471863,0.3674992024898529,0.2623239755630493,0.3550875186920166,0.2724229693412781,0.33708512783050537,0.25470587611198425,0.3778359591960907,0.2732591927051544,0.4092566967010498,0.2898327112197876,0.4303119480609894,0.2850715219974518,17.744580509857524,6.85410990938312,13.667062265791865,3.6855018023925723,16.501265711485818,3.826376931087929,16.687682785764967,3.3865872010785742,18.14964896181655,3.766350187592527,17.83975419376081,3.8083006328720987,49.53756253220745,5.947156141421958
Fidele_CT2_pitch_up,Fidel,ct2,Fidele_CT2_pitch_up.wav,..\augmented_audio\Fidel\Fidele_CT2_pitch_up.wav,augmented,True,3.96,22050.0,0.0048076435923576355,0.006346277892589569,0.19512689601608188,0.14342965529351343,143.5546875,3465.1818585935307,1438.8742394525618,7452.754934210527,1987.2666813153253,3147.6955062997995,438.8093367524572,-602.2380981445312,193.0859832763672,-0.18088696897029877,19.067811965942383,0.10834357887506485,8.594718933105469,41.41876220703125,59.34798812866211,0.09858694672584534,14.187921524047852,-0.07702136039733887,7.529036045074463,15.623069763183594,26.032577514648438,0.06235058978199959,5.521780967712402,-0.021488312631845474,3.243405818939209,5.278124809265137,24.862335205078125,0.06706886738538742,4.9025444984436035,-0.032282035797834396,2.740391969680786,18.88002586364746,20.82679557800293,-0.03438824787735939,4.2698140144348145,0.02053806558251381,2.2769246101379395,3.833113431930542,13.456640243530273,0.026062436401844025,2.8290536403656006,-0.008396726101636887,1.681862473487854,4.3941969871521,12.508788108825684,0.03602950647473335,1.8783469200134277,-0.011286227032542229,1.110028624534607,-6.965557098388672,14.177103996276855,0.07803266495466232,1.9584324359893799,-0.02423703670501709,1.5104551315307617,-1.4150532484054565,10.926011085510254,0.03130541369318962,2.0567450523376465,0.005347688216716051,1.0280898809432983,6.741576671600342,9.430922508239746,-0.017289211973547935,1.848196268081665,0.015750454738736153,1.0162395238876343,3.5848231315612793,7.763070106506348,-0.01822214387357235,1.4876257181167603,-0.014638219960033894,0.8839490413665771,-1.292359471321106,7.325730800628662,-0.0019374748226255178,1.5739384889602661,-0.02536473050713539,0.927772045135498,-1.8404752016067505,11.457114219665527,-0.008357803337275982,2.5497374534606934,-0.02523532137274742,1.2172245979309082,0.36593037843704224,0.294144868850708,0.3616693913936615,0.2700801491737366,0.4108785092830658,0.3017961084842682,0.4320020079612732,0.30811017751693726,0.4609808325767517,0.3138573467731476,0.4978199601173401,0.3374704420566559,0.44649598002433777,0.2827998995780945,0.43509766459465027,0.28507164120674133,0.46518582105636597,0.311279833316803,0.44826698303222656,0.31556251645088196,0.40338027477264404,0.3026255965232849,0.3851120173931122,0.294558584690094,18.32043452389103,6.265118812813734,15.094203226780722,5.286629382436009,16.516527152739886,4.226545197227827,17.788942301344235,3.722698982400565,18.093108904780625,3.3094631575878384,19.030911540036197,4.436132869941528,45.87453926004014,3.387149799380924
Fidele_CT2_time_fast,Fidel,ct2,Fidele_CT2_time_fast.wav,..\augmented_audio\Fidel\Fidele_CT2_time_fast.wav,augmented,True,3.3,22050.0,0.004795450251549482,0.006304316688328981,0.20821610030594406,0.14275404713837123,89.10290948275862,3648.9666811263096,1440.2412389788035,7803.37682337194,1850.6725067543146,3236.453603234681,417.9778021684023,-605.9342041015625,205.84634399414062,-0.2719690203666687,21.069089889526367,-0.010408842004835606,9.357312202453613,42.85182189941406,58.40121078491211,0.22897031903266907,13.993904113769531,-0.16671529412269592,8.7003755569458,21.1936092376709,24.867525100708008,0.14889401197433472,5.483595371246338,-0.06052269786596298,3.5176901817321777,3.396454095840454,24.433879852294922,0.18424613773822784,4.613926410675049,-0.06779494881629944,2.7852399349212646,19.956851959228516,20.753639221191406,0.029840921983122826,4.608925819396973,-0.0514480359852314,2.5306715965270996,6.351931095123291,15.267096519470215,0.06194702908396721,3.0970349311828613,-0.05350663885474205,1.9647964239120483,7.2291412353515625,9.435627937316895,0.048072680830955505,1.7661629915237427,-0.03974326327443123,1.1647474765777588,-1.8081908226013184,11.190359115600586,0.05200260505080223,1.7241263389587402,-0.022266270592808723,1.165750503540039,-6.236072063446045,13.688983917236328,0.04154225438833237,2.0292720794677734,-5.556153155339416e-06,1.2301584482192993,3.0090768337249756,8.42342472076416,0.008018354885280132,1.7094229459762573,0.02014273777604103,1.0146100521087646,5.642887115478516,7.013435363769531,0.010098710656166077,1.3115578889846802,0.0022397625725716352,0.8024359941482544,2.9491004943847656,9.688376426696777,-0.027484944090247154,2.0636651515960693,-0.016355104744434357,1.261337399482727,2.597236156463623,10.75060749053955,0.02412704937160015,2.5876402854919434,-0.03466199338436127,1.4133753776550293,0.4091859757900238,0.25097641348838806,0.4733847379684448,0.3039766848087311,0.564200758934021,0.3387385308742523,0.5325270295143127,0.31420615315437317,0.46943312883377075,0.26907017827033997,0.4937703013420105,0.31758132576942444,0.45690277218818665,0.2991349995136261,0.37667861580848694,0.26756343245506287,0.34964630007743835,0.26863473653793335,0.3190489113330841,0.24303238093852997,0.3518274426460266,0.2845814824104309,0.4011865258216858,0.29662075638771057,17.461299368990808,6.172879922375686,14.617904792296372,4.290069147524664,15.18404047994668,3.632579807976082,16.81764704976963,3.2393251392431255,17.76375164391321,3.1990650911440417,18.061269705967383,3.935899948476461,48.517147912158876,5.597884693264097
Fidele_CT2_time_slow,Fidel,ct2,Fidele_CT2_time_slow.wav,..\augmented_audio\Fidel\Fidele_CT2_time_slow.wav,augmented,True,4.950022675736961,22050.0,0.00506936339661479,0.007130601909011602,0.20767924941588786,0.16155132211797973,112.34714673913044,3633.7805612179136,1473.608322151125,7777.008113682827,1887.8570015389396,3220.9824657841045,420.36559885292155,-609.548828125,199.078125,0.03033432923257351,17.908761978149414,-0.012274447828531265,8.19079875946045,40.29436111450195,60.04692840576172,0.07145840674638748,13.626211166381836,-0.036415040493011475,6.382338047027588,19.327871322631836,25.396095275878906,0.06661522388458252,5.294417858123779,-0.03188047558069229,2.7049901485443115,2.7120463848114014,24.470714569091797,0.06552163511514664,4.2980546951293945,-0.03129085525870323,2.2637264728546143,20.506404876708984,21.316648483276367,0.03388240933418274,4.174051761627197,-0.004577346611768007,2.09277606010437,7.286240100860596,14.613041877746582,0.0363076850771904,2.8600924015045166,-0.0006173397996462882,1.6208367347717285,7.992939472198486,9.61160659790039,0.02373010478913784,1.563843011856079,0.00542737590149045,1.0917015075683594,-1.1818904876708984,11.95028018951416,0.03370433300733566,1.8204373121261597,-0.006787623278796673,1.1355010271072388,-5.776742458343506,13.720043182373047,0.037344396114349365,2.0886127948760986,-0.009527993388473988,1.2864048480987549,3.1152451038360596,8.073149681091309,0.03227926790714264,1.5518654584884644,-7.063651719363406e-05,0.9830158948898315,5.029273986816406,7.853349685668945,0.000880303792655468,1.4922510385513306,0.02290821447968483,0.8699036836624146,2.599897623062134,9.68595027923584,-0.011475767940282822,1.9478728771209717,0.025502946227788925,1.0380747318267822,1.4814938306808472,10.68985366821289,0.0011753846192732453,2.173076629638672,0.00561070442199707,1.046203851699829,0.41832369565963745,0.31819388270378113,0.41969940066337585,0.302511990070343,0.4650445282459259,0.3199569284915924,0.5226947665214539,0.34861230850219727,0.46268847584724426,0.3082951307296753,0.4348915219306946,0.28702792525291443,0.44396623969078064,0.3174055814743042,0.3890454173088074,0.25757235288619995,0.3899686634540558,0.29075950384140015,0.37468627095222473,0.2979947328567505,0.36782437562942505,0.29897868633270264,0.37453657388687134,0.27001798152923584,18.856356897987656,6.840985685058362,15.389957592158789,4.933604498569842,16.46003666942741,4.403796822085157,17.877573608922894,3.6267777779189374,18.47344729691519,3.5092795633055247,18.94068929588203,4.522727930147153,48.62962826763356,5.911316313542589
Fidele_CT2_volume_down,Fidel,ct2,Fidele_CT2_volume_down.wav,..\augmented_audio\Fidel\Fidele_CT2_volume_down.wav,augmented,True,3.96,22050.0,0.003662525676190853,0.004951465409249067,0.24805829678362573,0.17402170590232896,75.99954044117646,3617.178741697801,1463.9692917424063,7761.586400082237,1859.414969740846,3213.2755193592807,421.9323075477806,-645.2651977539062,209.97921752929688,-0.17665109038352966,20.975116729736328,0.13552246987819672,10.016799926757812,47.24209213256836,60.70206832885742,0.23543666303157806,14.500853538513184,-0.09824606776237488,8.022500038146973,21.397138595581055,25.906295776367188,0.14049996435642242,5.491838455200195,-0.020749010145664215,3.158766984939575,3.7024104595184326,24.371967315673828,0.12573032081127167,4.350963115692139,-0.027727507054805756,2.557048797607422,20.725725173950195,21.325397491455078,-0.00855394545942545,4.501986503601074,0.0025082582142204046,2.4051034450531006,6.740921974182129,15.12866497039795,-0.000882937922142446,3.1586990356445312,0.004937230609357357,1.8625421524047852,7.202820301055908,9.570388793945312,0.010163086466491222,1.6723734140396118,-0.009918888099491596,1.1744989156723022,-1.8237533569335938,11.468177795410156,0.043692924082279205,1.6445817947387695,-0.02541389875113964,1.1399160623550415,-6.7777276039123535,13.69041919708252,0.054823413491249084,2.0554423332214355,-0.021623026579618454,1.3199490308761597,1.99540376663208,8.281734466552734,0.009878400713205338,1.6193195581436157,0.015117397531867027,0.9731227159500122,4.385042667388916,7.403238773345947,-0.007141793612390757,1.4550788402557373,0.006130324676632881,0.8794253468513489,2.2779734134674072,9.562177658081055,-0.02903125435113907,1.9780830144882202,-0.0031157962512224913,1.1243417263031006,1.3412541151046753,10.391185760498047,0.03671403229236603,2.315358877182007,-0.039802923798561096,1.1995772123336792,0.4255070686340332,0.2929494082927704,0.4334654211997986,0.29587215185165405,0.5113162994384766,0.3292669355869293,0.5843325853347778,0.3563190996646881,0.5140987038612366,0.3074222207069397,0.4718494117259979,0.28292688727378845,0.4890149235725403,0.32219961285591125,0.4143490195274353,0.27438846230506897,0.39686548709869385,0.29317963123321533,0.3798823356628418,0.2867465317249298,0.3735913336277008,0.2874777615070343,0.39285361766815186,0.2696983814239502,17.158195105950064,7.030860330206266,14.046971640653597,4.701947320623331,14.913886554228412,3.907210470562012,16.043704630680665,3.296085785090077,16.85848204794189,3.508541892640091,17.337398420691265,4.214331752592929,47.35165943101498,6.395955634620064
Fidel_confirm_transaction_aug_noise,Fidel,confirm_transaction,Fidel_confirm_transaction_aug_noise.wav,..\augmented_audio\Fidel\Fidel_confirm_transaction_aug_noise.wav,augmented,True,3.96,22050.0,0.009257132187485695,0.008783973753452301,0.39458835891812866,0.1552869314134739,143.5546875,4918.773405443287,1030.2316039404286,8816.776315789473,597.4196312651287,3109.5553386498186,258.28254562345853,-323.52520751953125,43.51669692993164,0.1037449985742569,5.5809712409973145,-0.09779703617095947,2.8445937633514404,11.343247413635254,36.61899185180664,0.01256672851741314,8.552054405212402,-0.0029239878058433533,4.7118353843688965,5.898494720458984,16.233978271484375,-0.03784653916954994,3.2900493144989014,0.009304984472692013,1.8115277290344238,1.027185320854187,13.190826416015625,-0.0314318910241127,2.7627627849578857,0.009678133763372898,1.6440221071243286,1.8193970918655396,10.621459007263184,0.016108283773064613,2.086827516555786,0.010554262436926365,1.1790857315063477,3.874373197555542,7.5439534187316895,0.043274667114019394,1.5232290029525757,0.008804574608802795,0.8673058152198792,0.22451873123645782,5.4663238525390625,-0.012286794371902943,1.1445740461349487,0.020261162891983986,0.752980649471283,0.7108790278434753,7.110710620880127,-0.044847242534160614,1.497117519378662,-0.0008758815238252282,0.9042587280273438,-4.59173059463501,6.819789886474609,-0.07880255579948425,1.2164809703826904,0.006085271947085857,0.8441611528396606,1.6870545148849487,3.923604726791382,-0.06402821838855743,0.8134521245956421,0.00558422552421689,0.6060647964477539,1.3611934185028076,6.013124942779541,-0.019640592858195305,1.0118670463562012,0.01853436790406704,0.6427606344223022,2.5971362590789795,5.81476354598999,-0.012284657917916775,1.3787920475006104,0.00469617685303092,0.898116946220398,-1.2022390365600586,5.851820468902588,-0.026672016829252243,1.3909929990768433,-0.01777658984065056,0.8229586482048035,0.6224463582038879,0.3139098584651947,0.6575550436973572,0.313072144985199,0.6942822933197021,0.3033788502216339,0.7518619894981384,0.2986951172351837,0.660260021686554,0.2618023455142975,0.6120165586471558,0.22321511805057526,0.6240591406822205,0.2610089182853699,0.5943529605865479,0.26883888244628906,0.5804121494293213,0.29318055510520935,0.5743467211723328,0.3079911172389984,0.5839694738388062,0.3346051871776581,0.5893564820289612,0.32848724722862244,14.243823705268566,6.331018380606073,12.288935314809025,4.269771003220832,12.811132910233884,3.210975041056696,13.609002432520185,2.5919517028630605,14.227300600186888,2.309844231540534,13.870158776361523,1.4654964013679557,45.95598231589113,4.4555804412869255
Fidel_confirm_transaction_aug_pitch_down,Fidel,confirm_transaction,Fidel_confirm_transaction_aug_pitch_down.wav,..\augmented_audio\Fidel\Fidel_confirm_transaction_aug_pitch_down.wav,augmented,True,3.96,22050.0,0.004680636338889599,0.006256982684135437,0.21397854989035087,0.14499535459348797,75.99954044117646,3631.974495384446,1375.099321735472,7679.294305098684,1729.3276337207158,3155.462250234713,446.809444312402,-612.3302001953125,207.960693359375,-0.2485629916191101,20.108543395996094,0.10237694531679153,9.110597610473633,44.700008392333984,59.60566711425781,0.1444089561700821,14.591287612915039,-0.10847408324480057,7.700526714324951,21.4990291595459,25.132102966308594,0.07736774533987045,5.405209541320801,-0.02338683232665062,3.0343716144561768,4.432203769683838,22.00575828552246,0.12070119380950928,3.9714581966400146,-0.02553999423980713,2.364053964614868,15.117193222045898,19.426517486572266,0.029393425211310387,4.152383327484131,-0.01819686032831669,2.1623666286468506,12.2123441696167,15.912542343139648,-0.001305719604715705,3.1105988025665283,0.008151662535965443,1.7528444528579712,5.580928325653076,10.884574890136719,0.03156498074531555,2.243709087371826,-0.012425043620169163,1.4255954027175903,8.967156410217285,9.786578178405762,0.026882285252213478,1.756509780883789,-0.007836446166038513,0.9941715002059937,-9.503472328186035,16.659423828125,0.0791117325425148,2.2122673988342285,-0.03781081736087799,1.5272685289382935,0.9866845011711121,10.141403198242188,0.04566877707839012,2.0546133518218994,-0.013660726137459278,1.0881956815719604,-1.8087682723999023,9.518845558166504,0.055166758596897125,1.7661060094833374,-0.013797157444059849,1.0069550275802612,6.685080051422119,11.56410026550293,-0.019746562466025352,2.204658031463623,0.016349708661437035,1.0647562742233276,-2.7220382690429688,6.79252290725708,-0.020305493846535683,1.4113017320632935,-0.003941112197935581,0.8909318447113037,0.4910312294960022,0.315986305475235,0.5673025250434875,0.33393147587776184,0.5321546196937561,0.313511461019516,0.4883705675601959,0.2923468053340912,0.47931796312332153,0.3136628568172455,0.40738770365715027,0.28106924891471863,0.3674992024898529,0.2623239755630493,0.3550875186920166,0.2724229693412781,0.33708512783050537,0.25470587611198425,0.3778359591960907,0.2732591927051544,0.4092566967010498,0.2898327112197876,0.4303119480609894,0.2850715219974518,17.744580509857524,6.85410990938312,13.667062265791865,3.6855018023925723,16.501265711485818,3.826376931087929,16.687682785764967,3.3865872010785742,18.14964896181655,3.766350187592527,17.83975419376081,3.8083006328720987,49.53756253220745,5.947156141421958
Fidel_confirm_transaction_aug_pitch_up,Fidel,confirm_transaction,Fidel_confirm_transaction_aug_pitch_up.wav,..\augmented_audio\Fidel\Fidel_confirm_transaction_aug_pitch_up.wav,augmented,True,3.96,22050.0,0.0048076435923576355,0.006346277892589569,0.19512689601608188,0.14342965529351343,143.5546875,3465.1818585935307,1438.8742394525618,7452.754934210527,1987.2666813153253,3147.6955062997995,438.8093367524572,-602.2380981445312,193.0859832763672,-0.18088696897029877,19.067811965942383,0.10834357887506485,8.594718933105469,41.41876220703125,59.34798812866211,0.09858694672584534,14.187921524047852,-0.07702136039733887,7.529036045074463,15.623069763183594,26.032577514648438,0.06235058978199959,5.521780967712402,-0.021488312631845474,3.243405818939209,5.278124809265137,24.862335205078125,0.06706886738538742,4.9025444984436035,-0.032282035797834396,2.740391969680786,18.88002586364746,20.82679557800293,-0.03438824787735939,4.2698140144348145,0.02053806558251381,2.2769246101379395,3.833113431930542,13.456640243530273,0.026062436401844025,2.8290536403656006,-0.008396726101636887,1.681862473487854,4.3941969871521,12.508788108825684,0.03602950647473335,1.8783469200134277,-0.011286227032542229,1.110028624534607,-6.965557098388672,14.177103996276855,0.07803266495466232,1.9584324359893799,-0.02423703670501709,1.5104551315307617,-1.4150532484054565,10.926011085510254,0.03130541369318962,2.0567450523376465,0.005347688216716051,1.0280898809432983,6.741576671600342,9.430922508239746,-0.017289211973547935,1.848196268081665,0.015750454738736153,1.0162395238876343,3.5848231315612793,7.763070106506348,-0.01822214387357235,1.4876257181167603,-0.014638219960033894,0.8839490413665771,-1.292359471321106,7.325730800628662,-0.0019374748226255178,1.5739384889602661,-0.02536473050713539,0.927772045135498,-1.8404752016067505,11.457114219665527,-0.008357803337275982,2.5497374534606934,-0.02523532137274742,1.2172245979309082,0.36593037843704224,0.294144868850708,0.3616693913936615,0.2700801491737366,0.4108785092830658,0.3017961084842682,0.4320020079612732,0.30811017751693726,0.4609808325767517,0.3138573467731476,0.4978199601173401,0.3374704420566559,0.44649598002433777,0.2827998995780945,0.43509766459465027,0.28507164120674133,0.46518582105636597,0.311279833316803,0.44826698303222656,0.31556251645088196,0.40338027477264404,0.3026255965232849,0.3851120173931122,0.294558584690094,18.32043452389103,6.265118812813734,15.094203226780722,5.286629382436009,16.516527152739886,4.226545197227827,17.788942301344235,3.722698982400565,18.093108904780625,3.3094631575878384,19.030911540036197,4.436132869941528,45.87453926004014,3.387149799380924
Fidel_confirm_transaction_aug_time_fast,Fidel,confirm_transaction,Fidel_confirm_transaction_aug_time_fast.wav,..\augmented_audio\Fidel\Fidel_confirm_transaction_aug_time_fast.wav,augmented,True,3.3,22050.0,0.004795450251549482,0.006304316688328981,0.20821610030594406,0.14275404713837123,89.10290948275862,3648.9666811263096,1440.2412389788035,7803.37682337194,1850.6725067543146,3236.453603234681,417.9778021684023,-605.9342041015625,205.84634399414062,-0.2719690203666687,21.069089889526367,-0.010408842004835606,9.357312202453613,42.85182189941406,58.40121078491211,0.22897031903266907,13.993904113769531,-0.16671529412269592,8.7003755569458,21.1936092376709,24.867525100708008,0.14889401197433472,5.483595371246338,-0.06052269786596298,3.5176901817321777,3.396454095840454,24.433879852294922,0.18424613773822784,4.613926410675049,-0.06779494881629944,2.7852399349212646,19.956851959228516,20.753639221191406,0.029840921983122826,4.608925819396973,-0.0514480359852314,2.5306715965270996,6.351931095123291,15.267096519470215,0.06194702908396721,3.0970349311828613,-0.05350663885474205,1.9647964239120483,7.2291412353515625,9.435627937316895,0.048072680830955505,1.7661629915237427,-0.03974326327443123,1.1647474765777588,-1.8081908226013184,11.190359115600586,0.05200260505080223,1.7241263389587402,-0.022266270592808723,1.165750503540039,-6.236072063446045,13.688983917236328,0.04154225438833237,2.0292720794677734,-5.556153155339416e-06,1.2301584482192993,3.0090768337249756,8.42342472076416,0.008018354885280132,1.7094229459762573,0.02014273777604103,1.0146100521087646,5.642887115478516,7.013435363769531,0.010098710656166077,1.3115578889846802,0.0022397625725716352,0.8024359941482544,2.9491004943847656,9.688376426696777,-0.027484944090247154,2.0636651515960693,-0.016355104744434357,1.261337399482727,2.597236156463623,10.75060749053955,0.02412704937160015,2.5876402854919434,-0.03466199338436127,1.4133753776550293,0.4091859757900238,0.25097641348838806,0.4733847379684448,0.3039766848087311,0.564200758934021,0.3387385308742523,0.5325270295143127,0.31420615315437317,0.46943312883377075,0.26907017827033997,0.4937703013420105,0.31758132576942444,0.45690277218818665,0.2991349995136261,0.37667861580848694,0.26756343245506287,0.34964630007743835,0.26863473653793335,0.3190489113330841,0.24303238093852997,0.3518274426460266,0.2845814824104309,0.4011865258216858,0.29662075638771057,17.461299368990808,6.172879922375686,14.617904792296372,4.290069147524664,15.18404047994668,3.632579807976082,16.81764704976963,3.2393251392431255,17.76375164391321,3.1990650911440417,18.061269705967383,3.935899948476461,48.517147912158876,5.597884693264097
Fidel_confirm_transaction_aug_time_slow,Fidel,confirm_transaction,Fidel_confirm_transaction_aug_time_slow.wav,..\augmented_audio\Fidel\Fidel_confirm_transaction_aug_time_slow.wav,augmented,True,4.950022675736961,22050.0,0.00506936339661479,0.007130601909011602,0.20767924941588786,0.16155132211797973,112.34714673913044,3633.7805612179136,1473.608322151125,7777.008113682827,1887.8570015389396,3220.9824657841045,420.36559885292155,-609.548828125,199.078125,0.03033432923257351,17.908761978149414,-0.012274447828531265,8.19079875946045,40.29436111450195,60.04692840576172,0.07145840674638748,13.626211166381836,-0.036415040493011475,6.382338047027588,19.327871322631836,25.396095275878906,0.06661522388458252,5.294417858123779,-0.03188047558069229,2.7049901485443115,2.7120463848114014,24.470714569091797,0.06552163511514664,4.2980546951293945,-0.03129085525870323,2.2637264728546143,20.506404876708984,21.316648483276367,0.03388240933418274,4.174051761627197,-0.004577346611768007,2.09277606010437,7.286240100860596,14.613041877746582,0.0363076850771904,2.8600924015045166,-0.0006173397996462882,1.6208367347717285,7.992939472198486,9.61160659790039,0.02373010478913784,1.563843011856079,0.00542737590149045,1.0917015075683594,-1.1818904876708984,11.95028018951416,0.03370433300733566,1.8204373121261597,-0.006787623278796673,1.1355010271072388,-5.776742458343506,13.720043182373047,0.037344396114349365,2.0886127948760986,-0.009527993388473988,1.2864048480987549,3.1152451038360596,8.073149681091309,0.03227926790714264,1.5518654584884644,-7.063651719363406e-05,0.9830158948898315,5.029273986816406,7.853349685668945,0.000880303792655468,1.4922510385513306,0.02290821447968483,0.8699036836624146,2.599897623062134,9.68595027923584,-0.011475767940282822,1.9478728771209717,0.025502946227788925,1.0380747318267822,1.4814938306808472,10.68985366821289,0.0011753846192732453,2.173076629638672,0.00561070442199707,1.046203851699829,0.41832369565963745,0.31819388270378113,0.41969940066337585,0.302511990070343,0.4650445282459259,0.3199569284915924,0.5226947665214539,0.34861230850219727,0.46268847584724426,0.3082951307296753,0.4348915219306946,0.28702792525291443,0.44396623969078064,0.3174055814743042,0.3890454173088074,0.25757235288619995,0.3899686634540558,0.29075950384140015,0.37468627095222473,0.2979947328567505,0.36782437562942505,0.29897868633270264,0.37453657388687134,0.27001798152923584,18.856356897987656,6.840985685058362,15.389957592158789,4.933604498569842,16.46003666942741,4.403796822085157,17.877573608922894,3.6267777779189374,18.47344729691519,3.5092795633055247,18.94068929588203,4.522727930147153,48.62962826763356,5.911316313542589
